legajo;nombreUsuario;contrasena;fechaAlta;fechaUltimoLogin
2034;zachary.mills;+OEDT#4j97;21/5/2021;10/5/2024
1500;gloria.washington;&YtT+7OtkT;31/3/2024;24/2/2025
5343;timothy.harrison;qO@m7!Oz&P;6/9/2023;18/12/2024
7976;michaela.banks;)sC2(Ee@AK;4/9/2022;16/1/2025
2191;sean.parker;u6BLDOBc!U;11/7/2021;2/11/2024
2316;craig.haynes;1xg0I(+u)X;4/4/2021;14/1/2025
2448;taylor.reynolds;^0YFuIq)+r;27/5/2021;20/11/2024
2376;brandon.morrison;h9HH$hs0*3;8/12/2021;16/9/2024
3018;james.marsh;prueba2025;29/9/2021;12/5/2025
2945;monica.mitchell;$*h0TGOn&#;23/11/2022;10/12/2024
8930;matias;matias12;2/1/2025;12/5/2025
